Title,Sponsors,Deadline,Amount,Link
Stealth Military Operations and Force Projection,"ARL, NRC Research Associateship ProgramsRAP",2018-11-01T00:00:00,2500000,http://sites.nationalacademies.org/PGA/RAP/PGA_046398
Computational and Data-Enabled Science and Engineering  (CDS&E),"NSF, PHY",2018-12-10T00:00:00,10000000,https://www.nsf.gov/pubs/policydocs/pappg17_1/index.jsp
Restricted-Access Research Data Centers (RDCs),"NSF, SESThe Division of Social and Economic Sciences, SBE, BCS",2018-09-30T00:00:00,300000,https://www.nsf.gov/pubs/2015/nsf15586/nsf15586.htm
NIDCR Small Research Grants for Data Analysis and Statistical Methodology Applied to Genome-wide Data (R03),"NIH, NIDCR",2019-01-07T00:00:00,14000,https://grants.nih.gov/grants/guide/pa-files/PAR-16-070.html
ROSES 2018 - Heliophysics Data Environment Enhancements,NASA,2018-07-20T00:00:00,4400000,https://nspires.nasaprs.com/external/viewrepositorydocument/cmdocumentid=611667/solicitationId=%7B1572F443-9193-A7FB-2EE4-0C6F66E4838B%7D/viewSolicitationDocument=1/B.7%20HDEE.pdf
Demonstrating Distributed Energy Storage for Stacking Customer and Grid Values (PON 3541),NYSERDA,2019-12-31T00:00:00,15000000,https://portal.nyserda.ny.gov/servlet/servlet.FileDownload?file=00Pt0000004FOn8EAG
Research on High-Energy Density and High Power Density Electrochemical Energy Storage Devices,"West Point, Army, The AcademyThe PointUSMA, NRC Research Associateship ProgramsRAP",2018-11-01T00:00:00,8250000,http://sites.nationalacademies.org/PGA/RAP/PGA_046398
ROSES 2018 - Rosetta Data Analysis Program,NASA,2018-11-01T00:00:00,1300000,https://nspires.nasaprs.com/external/viewrepositorydocument/cmdocumentid=611944/solicitationId=%7BDDBE254F-8633-9B81-4502-4A99BF73EB86%7D/viewSolicitationDocument=1/FULL%20ROSES%202018%20Amend1.pdf
Prediction and Optimization of Concrete and other Random Composite Materials,"NIST, NRC Research Associateship ProgramsRAP",2018-08-01T00:00:00,2500000,http://sites.nationalacademies.org/PGA/RAP/PGA_046398
Archiving and Documenting Child Health and Human Development Data Sets (R03),"NIH, NICHDNational Institute of Child Health and Human Development",2019-05-07T00:00:00,2000000,https://grants.nih.gov/grants/guide/pa-files/PAR-16-149.html
Perception and Cognition Research to Inform Cancer Image Interpretation (R21 Clinical Trial Optional),"NIH, NCI, NIBIB",2019-09-26T00:00:00,3000000,https://grants.nih.gov/grants/guide/pa-files/PAR-18-641.html
Perception and Cognition Research to Inform Cancer Image Interpretation (R01 Clinical Trial Optional),"NIH, NCI, NIBIB",2019-09-26T00:00:00,3000000,https://grants.nih.gov/grants/guide/pa-files/PAR-18-640.html
Interactive Visualization for Heterogeneous Big Data Exploration and Discovery,"West Point, Army, The AcademyThe PointUSMA, NRC Research Associateship ProgramsRAP",2018-11-01T00:00:00,8250000,http://sites.nationalacademies.org/PGA/RAP/PGA_046398
Interactive Visualization for Heterogeneous Big Data Exploration and Discovery,"ARL, NRC Research Associateship ProgramsRAP",2018-11-01T00:00:00,2500000,http://sites.nationalacademies.org/PGA/RAP/PGA_046398
Pursuit of Hospitality - The George William Roe Scholarship,SCF,2019-02-15T00:00:00,1200000,http://www.saginawfoundation.org/site/scholarships/before-you-begin/
Next-Generation Computational Methods for Scalable Computing,"AFRL, NRC Research Associateship ProgramsRAP",2018-11-01T00:00:00,2500000,http://sites.nationalacademies.org/PGA/RAP/PGA_046398
Synthetic Reference Materials for Scalable Cyber Security,"NIST, NRC Research Associateship ProgramsRAP",2018-08-01T00:00:00,2500000,http://sites.nationalacademies.org/PGA/RAP/PGA_046398
The Application of Big Data Analytics to Drug Abuse Research (R01 Clinical Trial Optional),"NIH, NIDA",2019-05-07T00:00:00,2750000,https://grants.nih.gov/grants/guide/pa-files/PA-18-057.html
Improving Smoking Cessation in Socioeconomically Disadvantaged Populations via Scalable Interventions (R01 Clinical Trial Optional),"NIH, NCI",2019-06-13T00:00:00,3000000,https://grants.nih.gov/grants/guide/pa-files/PAR-18-251.html
Improving Smoking Cessation in Socioeconomically Disadvantaged Populations via Scalable Interventions (R21 Clinical Trial Optional),"NIH, NCI",2019-06-13T00:00:00,4000000,https://grants.nih.gov/grants/guide/pa-files/PAR-18-250.html
Efficient Optimization of Complex Design Spaces,"AFRL, NRC Research Associateship ProgramsRAP",2018-11-01T00:00:00,9600000,http://sites.nationalacademies.org/PGA/RAP/PGA_046398
ROSES 2018 - New Frontiers Data Analysis,NASA,2018-08-23T00:00:00,1500000,https://nspires.nasaprs.com/external/viewrepositorydocument/cmdocumentid=611944/solicitationId=%7BDDBE254F-8633-9B81-4502-4A99BF73EB86%7D/viewSolicitationDocument=1/FULL%20ROSES%202018%20Amend1.pdf
"ROSES 2018 - Planetary Data Archiving, Restoration, and Tools",NASA,2018-07-12T00:00:00,2400000,https://nspires.nasaprs.com/external/viewrepositorydocument/cmdocumentid=611944/solicitationId=%7BDDBE254F-8633-9B81-4502-4A99BF73EB86%7D/viewSolicitationDocument=1/FULL%20ROSES%202018%20Amend1.pdf
Coordinating Center to Support NIDA Rural Opioid HIV and Comorbidity Initiative (U24 - Clinical Trial Not Allowed),"NIH, NIDA",2018-08-15T00:00:00,750000,https://grants.nih.gov/grants/guide/rfa-files/RFA-DA-19-004.html
Three-Dimensional Approach for Modeling Nasal Mucociliary Clearance via Computational Fluid Dynamics (CFD) (U01),FDA,2018-06-04T00:00:00,280000,https://grants.nih.gov/grants/guide/rfa-files/RFA-FD-18-020.html
Information Visualization of NSWC Crane Innovation Ecosystem as part of Naval Science and Technology,Crane Division,2018-04-26T00:00:00,200000,https://www.grants.gov/custom/viewOppDetails.jsp?oppId=302158
BMD 2.1 - Improved visualization and tools,BMD,2018-12-31T00:00:00,2000000,https://www.fbo.gov/index?s=opportunity&mode=form&id=5f2eabdf6207bf8e46a7b2102ad26e66&tab=core&_cview=0
Real-time Quantitative Visualization,"NIST, NRC Research Associateship ProgramsRAP",2018-08-01T00:00:00,2500000,http://sites.nationalacademies.org/PGA/RAP/PGA_046398
Performance Evaluation of Advanced Dimensional Measurement Systems,"NIST, NRC Research Associateship ProgramsRAP",2018-08-01T00:00:00,2500000,http://sites.nationalacademies.org/PGA/RAP/PGA_046398
Aberration-Corrected Scanning Transmission Electron Microscopy and Lithography of Two-Dimensional Nanomaterials,"NRL, NRC Research Associateship ProgramsRAP",2018-11-01T00:00:00,2500000,http://sites.nationalacademies.org/PGA/RAP/PGA_046398
"Designing Mesoporous, Three-Dimensional Nanoarchitectures and Nanocomposites","NRL, NRC Research Associateship ProgramsRAP",2018-11-01T00:00:00,2500000,http://sites.nationalacademies.org/PGA/RAP/PGA_046398
Directional Self-Assembly of Three-Dimensional Structures on Nano and Submicrometer Scale,"NRL, NRC Research Associateship ProgramsRAP",2018-11-01T00:00:00,2500000,http://sites.nationalacademies.org/PGA/RAP/PGA_046398
Immersive Visualization,"NIST, NRC Research Associateship ProgramsRAP",2018-08-01T00:00:00,2500000,http://sites.nationalacademies.org/PGA/RAP/PGA_046398
High Frequency Electrical Metrology for Three-Dimensional Integrated Circuits,"NIST, NRC Research Associateship ProgramsRAP",2018-08-01T00:00:00,2500000,http://sites.nationalacademies.org/PGA/RAP/PGA_046398
Intraoperative Visualization Tools Using Optical Molecular Imaging,"NIST, NRC Research Associateship ProgramsRAP",2018-08-01T00:00:00,2500000,http://sites.nationalacademies.org/PGA/RAP/PGA_046398
Methods of Synthesis and Analysis of Lattice Mismatched One- and Two-Dimensional Semiconductor Heterojunctions,"NIST, NRC Research Associateship ProgramsRAP",2018-08-01T00:00:00,2500000,http://sites.nationalacademies.org/PGA/RAP/PGA_046398
Nano- and Atomic-Resolution Electron Microscopy of Three-Dimensional Structures,"NIST, NRC Research Associateship ProgramsRAP",2018-08-01T00:00:00,2500000,http://sites.nationalacademies.org/PGA/RAP/PGA_046398
Four-Dimensional (4D) Scanning Transmission Electron Microscopy,"NIST, NRC Research Associateship ProgramsRAP",2018-08-01T00:00:00,2500000,http://sites.nationalacademies.org/PGA/RAP/PGA_046398
Development of Two-Dimensional Hybrid Systems,"NRL, NRC Research Associateship ProgramsRAP",2018-11-01T00:00:00,2500000,http://sites.nationalacademies.org/PGA/RAP/PGA_046398
Growth and Characterization of Low Dimensional Electronic Materials,"AFRL, NRC Research Associateship ProgramsRAP",2018-11-01T00:00:00,2500000,http://sites.nationalacademies.org/PGA/RAP/PGA_046398
Actinic Optical Dimensional Characterization of Deep-Subwavelength Nanostructures,"NIST, NRC Research Associateship ProgramsRAP",2018-08-01T00:00:00,2500000,http://sites.nationalacademies.org/PGA/RAP/PGA_046398
Novel Mathematical Techniques for Reconstruction of Computed Tomography Applied to Three-Dimensional Imaging of Advanced Materials,"NIST, NRC Research Associateship ProgramsRAP",2018-08-01T00:00:00,2500000,http://sites.nationalacademies.org/PGA/RAP/PGA_046398
Optoelectronics and Electronics Based on Carbon and Two-Dimensional Materials,"AFRL, NRC Research Associateship ProgramsRAP",2018-11-01T00:00:00,2500000,http://sites.nationalacademies.org/PGA/RAP/PGA_046398
"Low-Dimensional Semiconductor Materials for Electronics, Photonics, Energy, and Sensors","NIST, NRC Research Associateship ProgramsRAP",2018-08-01T00:00:00,2500000,http://sites.nationalacademies.org/PGA/RAP/PGA_046398
Mathematical Modeling and Visualization of Multidimensional Data and Complex Systems,"AFRL, NRC Research Associateship ProgramsRAP",2018-11-01T00:00:00,2500000,http://sites.nationalacademies.org/PGA/RAP/PGA_046398
Intelligent Data Fusion for Multi-Modal or Multi-Sensory Systems,"NRL, NRC Research Associateship ProgramsRAP",2018-11-01T00:00:00,2500000,http://sites.nationalacademies.org/PGA/RAP/PGA_046398
Microfluidically Derived and Actuated Vascularized Three-Dimensional In Vitro Models,"NRL, NRC Research Associateship ProgramsRAP",2018-11-01T00:00:00,2500000,http://sites.nationalacademies.org/PGA/RAP/PGA_046398
Nonlinear Dynamics and Chaos Research of High Dimensional Systems in the Physical and Biological Sciences,"NRL, NRC Research Associateship ProgramsRAP",2018-11-01T00:00:00,2500000,http://sites.nationalacademies.org/PGA/RAP/PGA_046398
Physics and Electronics of Graphene and Other 2-Dimensional Materials,"NRL, NRC Research Associateship ProgramsRAP",2018-11-01T00:00:00,2500000,http://sites.nationalacademies.org/PGA/RAP/PGA_046398
Surface Science of Two-Dimensional Materials and Interfaces for Electronics Applications,"NRL, NRC Research Associateship ProgramsRAP",2018-11-01T00:00:00,2500000,http://sites.nationalacademies.org/PGA/RAP/PGA_046398
Three-Dimensional Mesoscale Tomography of Hard/Soft Materials Using Focused Ion Beam Microscopy,"NRL, NRC Research Associateship ProgramsRAP",2018-11-01T00:00:00,2500000,http://sites.nationalacademies.org/PGA/RAP/PGA_046398
"Secondary Analyses in Obesity, Diabetes and Digestive and Kidney Diseases (R21 Clinical Trial Optional)","NIH, NIDDK",2018-05-07T00:00:00,1500000,https://grants.nih.gov/grants/guide/pa-files/PA-18-052.html
"Resource Implementations for Data Intensive Research in the Social, Behavioral and Economic Sciences  (RIDIR)","NSF, SMA, SESThe Division of Social and Economic Sciences, SBE, BCS",2019-02-25T00:00:00,4500000,https://www.nsf.gov/pubs/2018/nsf18517/nsf18517.htm
Secondary Analyses of Existing Alcohol Research Data (R03),"NIH, NIAAA",2020-09-07T00:00:00,645000,https://grants.nih.gov/grants/guide/pa-files/PA-17-468.html
Secondary Analyses of Existing Alcohol Research Data (R01),"NIH, NIAAA",2020-09-07T00:00:00,675000,https://grants.nih.gov/grants/guide/pa-files/PA-17-467.html
Getting To Zero: Understanding HIV Viral Suppression and Transmission in the United States (R01 Clinical Trial Not Allowed),"NIH, NICHDNational Institute of Child Health and Human Development, NIAID, NIMH",2020-03-13T00:00:00,3250000,https://grants.nih.gov/grants/guide/pa-files/PAR-18-411.html
"Fiscal Year (FY) 2018 Verification of the Origins of Rotation in Tornadoes Experiment in the Southeast U. S. (VORTEX-SE), and Infrasound Detection of Tornadoes",NOAA,2018-04-12T00:00:00,3500000,https://www.grants.gov/grantsws/rest/opportunity/att/download/269550
"Innovations in Immunization Data Management, Use, and Improved Process Efficiency",None,2018-05-02T00:00:00,3200000,https://gcgh.grandchallenges.org/sites/default/files/additional-materials/GCE_Rules_and_Guidelines_Round21.pdf
Creative Access: Residencies for Visual Artists & Writers with Spinal Cord Injury,None,2018-11-01T00:00:00,488550,http://www.artistcommunities.org/creativeaccess/apply
General Program Support Discipline-Based - Visual Arts,None,2018-06-01T00:00:00,2500,http://dos.myflorida.com/media/698512/2018-2019-general-program-support-grant-guidelines.pdf
"Dame Joan Sutherland Fund - Visual Arts, Crafts And Design",None,2018-11-15T00:00:00,7500,https://americanaustralian.site-ym.com/?page=djsfapply
Marketing - Visual Identity & Brand Strategy Grant,None,2018-12-01T00:00:00,70000,https://www.taprootfoundation.org/get-probono/grant-criteria
"Minnesota State Arts Board - Artist Initiative Grants: Visual arts; media arts, photography, and two- and three-dimensional visual arts",None,2018-06-29T00:00:00,50000,http://www.arts.state.mn.us/pubs/pubs/fy2018-ai-overview-instructions.pdf
Understanding and Computational Modeling of Behavioral and EEG Signals during Visual Search,"West Point, Army, The AcademyThe PointUSMA, NRC Research Associateship ProgramsRAP",2018-11-01T00:00:00,8250000,http://sites.nationalacademies.org/PGA/RAP/PGA_046398
Understanding and Computational Modeling of Behavioral and EEG Signals during Visual Search,"ARL, NRC Research Associateship ProgramsRAP",2018-11-01T00:00:00,2500000,http://sites.nationalacademies.org/PGA/RAP/PGA_046398
Cybersecurity Innovation for Cyberinfrastructure (CICI),"NSF, OAC, CISE",2018-06-04T00:00:00,12000000,https://www.nsf.gov/pubs/2018/nsf18547/nsf18547.htm
New Informatics Tools and Methods to Enhance U.S. Cancer Surveillance Research (UG3/UH3),"NIH, NCI",2019-04-16T00:00:00,10700000,https://grants.nih.gov/grants/guide/pa-files/PAR-16-349.html
From Genomic Association to Causation: A Convergent Neuroscience Approach for Integrating Levels of Analysis to Delineate Brain Function in Neuropsychiatry (U01),"NIH, NIMH",2019-03-05T00:00:00,1200000,https://grants.nih.gov/grants/guide/pa-files/PAR-17-179.html
From Genomic Association to Causation: A Convergent Neuroscience Approach for Integrating Levels of Analysis to Delineate Brain Function in Neuropsychiatry (Collaborative U01),"NIH, NIMH",2019-03-05T00:00:00,15000000,https://grants.nih.gov/grants/guide/pa-files/PAR-17-176.html
Limited Competition: Analysis of Data from NIA's Alzheimer's Disease Sequencing Project Follow-Up Study (U01),"NIH, NIA",2020-03-05T00:00:00,15000000,https://grants.nih.gov/grants/guide/pa-files/PAR-17-214.html
From Genomic Association to Causation: A Convergent Neuroscience Approach for Integrating Levels of Analysis to Delineate Brain Function in Neuropsychiatry (Collaborative R01),"NIH, NIMH, NIAAA",2019-03-05T00:00:00,450000,https://grants.nih.gov/grants/guide/pa-files/PAR-17-252.html
"Large-Scale Ocean Circulation, Water-Mass Structure, and Climate","NOAA, NRC Research Associateship ProgramsRAP",2018-11-01T00:00:00,2500000,http://sites.nationalacademies.org/PGA/RAP/PGA_046398
Leveraging Electronic Health Records for Alcohol Services Research (R21/R33 Clinical Trial Optional),"NIH, NIAAA",2020-05-07T00:00:00,1300000,https://grants.nih.gov/grants/guide/pa-files/PAR-18-203.html
Accelerating the Pace of Drug Abuse Research Using Existing Data (R01 Clinical Trial Optional),"NIH, NCI, NIDA, NIAAA",2019-05-07T00:00:00,2200000,https://grants.nih.gov/grants/guide/pa-files/PAR-18-062.html
High Frequency Monitoring Data Partnership Opportunity,MCC,2018-11-08T00:00:00,99947,https://www.grants.gov/grantsws/rest/opportunity/att/download/267611
Machine Learning Research for Artificial Intelligence Systems Development,"AFRL, NRC Research Associateship ProgramsRAP",2018-11-01T00:00:00,1250000,http://sites.nationalacademies.org/PGA/RAP/PGA_046398
Analysis of Hyperspectral and Multisensor Imaging Data,"NRL, NRC Research Associateship ProgramsRAP",2018-11-01T00:00:00,2500000,http://sites.nationalacademies.org/PGA/RAP/PGA_046398
Data Assimilation,"NRL, NRC Research Associateship ProgramsRAP",2018-11-01T00:00:00,2500000,http://sites.nationalacademies.org/PGA/RAP/PGA_046398
Data Standards for Clinical Research and Drug Development (U24),"FDA, CBER",2018-05-15T00:00:00,750000,https://grants.nih.gov/grants/guide/rfa-files/RFA-FD-18-015.html
From Genomic Association to Causation: A Convergent Neuroscience Approach for Integrating Levels of Analysis to Delineate Brain Function in Neuropsychiatry (R01),"NIH, NIMH, NIAAA",2019-03-05T00:00:00,450000,https://grants.nih.gov/grants/guide/pa-files/PAR-17-253.html
3D Elevation Program (3DEP),USGS,2018-09-30T00:00:00,2500000,https://www.grants.gov/grantsws/rest/opportunity/att/download/265820
Tribology and Lubrication Science for High-Performance Power Transmission,"West Point, Army, The AcademyThe PointUSMA, NRC Research Associateship ProgramsRAP",2018-11-01T00:00:00,8250000,http://sites.nationalacademies.org/PGA/RAP/PGA_046398
Bayesian Methods for Uncertainty Quantification in High Precision Experiments,"NIST, NRC Research Associateship ProgramsRAP",2018-08-01T00:00:00,8250000,http://sites.nationalacademies.org/PGA/RAP/PGA_046398
Assay Validation of High Quality Markers for Clinical Studies in Cancer (UH3) Clinical Trials Not Allowed,"NIH, NCI",2020-10-08T00:00:00,500000,https://grants.nih.gov/grants/guide/pa-files/PAR-18-310.html
High Power Solid-State Laser Science and Technologies,"West Point, Army, The AcademyThe PointUSMA, NRC Research Associateship ProgramsRAP",2018-11-01T00:00:00,8250000,http://sites.nationalacademies.org/PGA/RAP/PGA_046398
HPC Technologies for Scientific Applications,"West Point, Army, The AcademyThe PointUSMA, NRC Research Associateship ProgramsRAP",2018-11-01T00:00:00,8250000,http://sites.nationalacademies.org/PGA/RAP/PGA_046398
Research on High-Energy-Density Dielectrics and Capacitors for Power Electronics and Pulsed Power Applications,"West Point, Army, The AcademyThe PointUSMA, NRC Research Associateship ProgramsRAP",2018-11-01T00:00:00,8250000,http://sites.nationalacademies.org/PGA/RAP/PGA_046398
Research and Development of Anomaly Detection Theories and Methods in Streaming and Imagery Data,"West Point, Army, The AcademyThe PointUSMA, NRC Research Associateship ProgramsRAP",2018-11-01T00:00:00,8250000,http://sites.nationalacademies.org/PGA/RAP/PGA_046398
HIV/AIDS High Priority Drug Abuse Research (R01 Clinical Trial Optional),"NIH, NIDA",2018-09-07T00:00:00,2200000,https://grants.nih.gov/grants/guide/pa-files/PAS-18-063.html
Data Coordinating Center for Multi-Site Investigator-Initiated Clinical Trials (Collaborative U24 Clinical Trial Required),"NIH, NHLBI",2019-09-13T00:00:00,6000000,https://grants.nih.gov/grants/guide/pa-files/PAR-18-410.html
Geometry and Learning from Data in 3D and Beyond,IPAM,2018-12-11T00:00:00,410000,https://www.ipam.ucla.edu/programs/long-programs/geometry-and-learning-from-data-in-3d-and-beyond/?tab=application
"BMD 2.3 - Improved quality of data, via sensor performance or near real-time processing",BMD,2018-12-31T00:00:00,2000000,https://www.fbo.gov/index?s=opportunity&mode=form&id=5f2eabdf6207bf8e46a7b2102ad26e66&tab=core&_cview=0
CSD.06 - Data Privacy Technologies,None,2018-12-31T00:00:00,2000000,https://www.fbo.gov/index?s=opportunity&mode=form&id=5f2eabdf6207bf8e46a7b2102ad26e66&tab=core&_cview=0
CSD.15 - Data Analytics,None,2018-12-31T00:00:00,2000000,https://www.fbo.gov/index?s=opportunity&mode=form&id=5f2eabdf6207bf8e46a7b2102ad26e66&tab=core&_cview=0
CSD.22 - Research Data Marketplace,None,2018-12-31T00:00:00,2000000,https://www.fbo.gov/index?s=opportunity&mode=form&id=5f2eabdf6207bf8e46a7b2102ad26e66&tab=core&_cview=0
EXD.04 - Data Fusion and Automated Detection,EXD,2018-12-31T00:00:00,2000000,https://www.fbo.gov/index?s=opportunity&mode=form&id=5f2eabdf6207bf8e46a7b2102ad26e66&tab=core&_cview=0
OJJDP FY 18 National Juvenile Court Data Archive,OJJDP,2018-05-16T00:00:00,1400000,https://www.grants.gov/custom/viewOppDetails.jsp?oppId=301783
International Centre for Diffraction Data (ICDD) Grant-in-Aid - Pattern-Producing Grants,ICDD,2019-01-31T00:00:00,6100,http://www.icdd.com/grants/gia-prop.htm
FHWA 2018 Exploratory Advanced Research Broad Agency Announcement - Topic 3: Artificial Realistic Data,FHWA,2018-04-19T00:00:00,7000000,https://www.fbo.gov/utils/view?id=3043f95286756051cca2550ee9da2ba4
International Centre for Diffraction Data (ICDD) Grant-in-Aid - Pattern-Quality-Enhancement Grants,ICDD,2019-01-31T00:00:00,7000000,http://www.icdd.com/grants/gia-prop.htm
2018 Water Use Data and Research Program,USGS,2018-05-03T00:00:00,1500000,https://www.grants.gov/custom/viewOppDetails.jsp?oppId=302007
"OJJDP FY 18 Improving Juvenile Reentry Programs Capacity for Data Collection, Analysis, and Reporting",OJJDP,2018-05-29T00:00:00,1000000,https://www.grants.gov/custom/viewOppDetails.jsp?oppId=302335
OJJDP FY 18 Redesign Study of OJJDP's Juveniles in Corrections Data Collections,OJJDP,2018-05-30T00:00:00,500000,https://www.grants.gov/custom/viewOppDetails.jsp?oppId=302325
External Awards Program - High-Risk Track,None,2019-02-01T00:00:00,100000,https://www.fusfoundation.org/for-researchers/external-research-awards-program/apply-for-funding
Application and Interpretation of Long-Term Bridge Performance Data,"R&T, NRC Research Associateship ProgramsRAP",2018-11-01T00:00:00,38732,http://sites.nationalacademies.org/PGA/RAP/PGA_046398
Baseline Water Quality Data Program,DCED,2018-05-31T00:00:00,25000000,https://dced.pa.gov/download/baseline-water-quality-data-guidelines-2018/?wpdmdl=81373
High Quality School Readiness Grant,None,2018-04-13T00:00:00,2000,https://jobs.utah.gov/edo/rfg/hqsr19/hqsr19rfg.pdf
High Priority HIV/AIDS Research within the Mission of the NIDDK (R01 Clinical Trial Optional),"NIH, NIDDK",2021-01-07T00:00:00,350000,https://grants.nih.gov/grants/guide/pa-files/PAS-18-698.html
Natural Product Multi-Site Clinical Trial Data Coordinating Center (Collaborative U24 Clinical Trial Required),"NIH, NCCIH",2019-11-04T00:00:00,1500000,https://grants.nih.gov/grants/guide/pa-files/PAR-18-697.html
"2018 ERDC Broad Agency Announcement - Geotechnical and Structures Laboratory - Geophysical Phenomenology - Multi-Modal Geophysical Phenomenology, Modeling, Data Processing, and Data Management (GSL-10)",ERDC,2019-01-31T00:00:00,40000,https://www.grants.gov/custom/viewOppDetails.jsp?oppId=300459
2018 ERDC Broad Agency Announcement - Information Technology Laboratory - High Performance Computing (HPC) and Networking (ITL-3),ERDC,2019-01-31T00:00:00,30000,https://www.grants.gov/custom/viewOppDetails.jsp?oppId=300459
2018 ERDC Broad Agency Announcement - Information Technology Laboratory - Big Data Analytics (ITL-5),ERDC,2019-01-31T00:00:00,30000,https://www.grants.gov/custom/viewOppDetails.jsp?oppId=300459
Quantum Information Science Enabled Discovery (QuantISED) for High Energy Physics,The U.S. Department of Energy Office of Science,2018-04-16T00:00:00,12000000,https://www.grants.gov/grantsws/rest/opportunity/att/download/270240
"Carrie Estelle Doheny Foundation - Mentoring, Counseling, Catholic High School Education",The Carrie Estelle Doheny Foundation,2019-02-07T00:00:00,15000000,http://www.dohenyfoundation.org/grants/application/
Highway Performance Big Data Applications,"R&T, NRC Research Associateship ProgramsRAP",2018-11-01T00:00:00,61608,http://sites.nationalacademies.org/PGA/RAP/PGA_046398
Cyberinfrastructure for Sustained Scientific Innovation (CSSI) - Data and Software,"NSF, OAC, EHR, GEO, SBE, BIO, CISE, ENG",2018-04-18T00:00:00,34000000,https://www.nsf.gov/pubs/2018/nsf18531/nsf18531.htm
High-End Instrumentation (HEI) Grant Program (S10 Clinical Trial Not Allowed),"ORIP, NIH, NIGMS",2018-05-31T00:00:00,30000000,https://grants.nih.gov/grants/guide/pa-files/PAR-18-598.html
Mind and Body Intervention Multi-Site Clinical Trial Data Coordinating Center (Collaborative U24 Clinical Trial Required),"NIH, NCCIH",2020-02-28T00:00:00,1500000,https://grants.nih.gov/grants/guide/pa-files/PAR-18-663.html
NSF/VMware Partnership on Edge Computing Data Infrastructure (ECDI),"NSF, CNS, CISE",2018-05-22T00:00:00,6000000,https://www.nsf.gov/pubs/2018/nsf18540/nsf18540.htm
National Center for Atmospheric Research (NCAR) - High Altitude Observatory (HAO) - Newkirk Fellowship,The National Center for Atmospheric ResearchNCAR,2019-01-01T00:00:00,2500000,None
